opeid6,level,sector,hbcu,completion_rate_150,share_outstanding_ug_5,cdr3_wgtd,pct25_earn_wne_p10,est_fte,white_share,black_share,hisp_share,asian_share,aian_share,nhpi_share,twomore_share,nra_share,unkn_share
1029,Four-year,Nonprofit 4-year,0,.50440001,1.14478473617073,.0621408,22300,1461,.5796,.2519,.0193,.0162,.0216,.0062,.034,.044,.027
1030,Two-year,Public 2-year,1,.2166,0,0,13600,2209,.2418,.6635,.0246,.0246,.0074,.0008,.0164,.0164,.0045
1031,Two-year,Public 2-year,0,.4465,.81959295038268,.0090629002,15000,2027,.8148,.0187,.1145,.0035,.0283,.0005,.0182,.0015,0
1033,Four-year,Nonprofit 4-year,1,.47549999,1.24026367824167,.072435997,15500,1535,.0057,.8279,.051,.0038,.0051,0,0,.0676,.0389
1036,Four-year,Nonprofit 4-year,0,.76359999,.7528604098748,.0096367002,31700,4506,.851,.0638,.0329,.0105,.0014,.0003,.0233,.0128,.004
1038,Two-year,Public 2-year,0,.37009999,.74056515201004,.044608001,14800,2012,.7035,.0897,.1448,.0096,.031,.0021,0,.0107,.0085
1040,Two-year,Public 2-year,0,.26710001,1.00613615516469,.0326754,16700,3749,.7029,.223,.0276,.0135,.0022,.0007,.0165,.0037,.0098
1041,Four-year,Nonprofit 4-year,0,.58639997,.9728133999289,.046745699,27400,1363,.6637,.1558,.0319,.0112,.0056,.0024,.0447,.0471,.0375
1044,Four-year,Nonprofit 4-year,1,.28760001,1.2946628430006,.21325921,16000,892,.0566,.8462,.0029,0,.0015,0,0,0,.0929
1046,Four-year,Nonprofit 4-year,1,.2353,1.25951490560796,.19413351,12200,1268,.0281,.851,.0406,.0025,.0033,.0008,.0215,.043,.0091
1047,Four-year,Public 4-year,0,.42789999,1.19552227552474,.061279401,22400,13020,.5247000000000001,.3122,.0374,.0075,.005,.0017,.03,.0456,.0359
1050,Four-year,Nonprofit 4-year,1,.4242,1.2009443003953,.064043999,20200,3049,.004,.8453999999999999,.0087,.0071,.0016,.0186,.002,0,.1127
1051,Four-year,Public 4-year,0,.71880001,.92490886504387,.0197013,29000,35653,.7774,.0999,.0499,.0116,.0035,.001,.0338,.0183,.0045
1052,Four-year,Public 4-year,0,.58289999,1.06623896006316,.0292239,26300,18641,.5717,.2553,.0334,.0633,.0034,.0002,.0457,.0213,.0058
1055,Four-year,Public 4-year,0,.5187,.97699917061471,.0247328,28300,8299,.7167000000000001,.0969,.0528,.0381,.0095,.0008,.0296,.0223,.0333
1057,Four-year,Public 4-year,0,.44170001,1.06251675135305,.046519201,22200,14203,.6058,.2298,.0367,.0311,.0063,.0016,.037,.0283,.0235
1059,Two-year,Public 2-year,1,.16769999,0,0,12300,2568,.149,.7989000000000002,.021,.0071,.0037,.0003,.0152,.0024,.0024
1060,Two-year,Public 2-year,0,.1468,1.02152969885564,.039559498,15700,5607,.6565,.2397,.0346,.0113,.0217,.0009,.0251,.0005,.0096
1061,Four-year,Nonprofit 4-year,0,.55559999,1.03167485922751,.024405001,23900,358,.4558,.0177,.0636,.0141,.2332,.0035,.1201,0,.0919
1063,Four-year,Public 4-year,0,.3154,.9602942829327,.0243639,19900,5010,.5321,.0326,.0782,.0195,.1376,.0082,.0913,.0114,.0891
1065,Four-year,Public 4-year,0,.35569999,.9662991051542,.0188356,19500,1404,.5395,.0115,.0831,.0296,.116,.023,.0855,.0066,.1053
1071,Two-year,Public 2-year,0,.2189,1.07020801835287,.0034403999,15400,4893,.1421,.0271,.7399999999999999,.0094,.0114,.0049,.0184,.0123,.0343
1072,Two-year,Public 2-year,0,.25690001,1.01165122791146,.0046444,16000,6355,.3986,.0488,.4483,.0182,.0056,.0053,.0517,.0141,.0094
1073,Two-year,Public 2-year,0,.3549,0,0,15400,3890,.6101,.0412,.2039,.0054,.0657,.0103,.0179,.01,.0354
1074,Four-year,For-profit 4-year,0,.368,1.09016873068878,.033275198,31800,81931,.4791,.1633,.2065,.031,.0102,.0066,.0405,.0103,.0525
1076,Two-year,Public 2-year,0,.1671,1.03505946997013,.0173664,19600,10200,.3831,.068,.4006000000000001,.0455,.0146,.0026,.0342,.0103,.0411
1077,Two-year,Public 2-year,0,.1645,1.08010076520637,.021709999,19900,11537,.4524,.0643,.3002,.0399,.0368,.0033,.0378,.0233,.042
1078,Two-year,Public 2-year,0,.1601,1.12737251058928,.023691799,18000,6021,.2099,.0984,.5558999999999999,.0296,.0253,.0015,.0261,.0129,.0404
1079,Two-year,Public 2-year,0,.30939999,1.02563335175848,.018726399,15400,3639,.5626,.0089,.1973,.0089,.0274,.0024,.0233,.002,.1672
1081,Four-year,Public 4-year,0,.67010552,.9411824618856701,.027614096,31400,101635,.5367916004387829,.0505879524950189,.2289096185273904,.0629728447021424,.0119953189012514,.0029077313125434,.0446701157402225,.0581875461729611,.0029732969173252
1082,Four-year,Public 4-year,0,.52450001,.94994571910417,.029832,25700,26741,.5583,.0331,.2475,.0202,.0249,.0024,.0566,.045,.0122
1083,Four-year,Public 4-year,0,.64480001,.8695214965526999,.022620557,30600,39665,.4997099696192077,.0392373005338761,.2714381116715335,.0522536825649648,.0120477037430316,.0023023242780875,.0468267852402442,.0645701766805297,.0116127835294812
1085,Four-year,Public 4-year,0,.2552,1.10358160573898,.0866016,18400,2608,.5879,.3076,.0415,.0021,.0041,.0004,.046,.0095,.0008
1086,Four-year,Public 4-year,1,.28830001,1.24664816856703,.1162214,15400,2422,.0345,.9092,.0186,.0028,.0016,0,.0174,.0138,.002
1088,Four-year,Nonprofit 4-year,0,.49059999,.94345411616482,.066838197,24200,603,.658,.0931,.0687,.0382,.0198,0,0,.026,.0962
1089,Four-year,Public 4-year,0,.40689999,1.0527520701294,.037464701,20400,8614,.7532,.0742,.0737,.0134,.0062,.0005,.0409,.0379,0
1090,Four-year,Public 4-year,0,.4822,1.11386402970687,.0301136,18600,12460,.7478,.1309,.0324,.0089,.0031,.0006,.0227,.0471,.0065
1091,Two-year,Public 2-year,0,.30540001,1.03856933354115,.010312,15700,2532,.8018999999999999,.0764,.0607,.0089,.0069,.002,.0275,.0024,.0133
1092,Four-year,Public 4-year,0,.4113,1.0684154757477,.039255001,22900,9760,.6583,.1695,.0565,.0208,.0052,.0006,.0411,.0463,.0018
1093,Four-year,Nonprofit 4-year,0,.33649999,1.06982525637321,.059721202,20800,654,.6757,.187,.0483,.003,.0166,.003,.0211,.0287,.0166
1094,Four-year,Nonprofit 4-year,0,.49680001,.9390397982966699,.076485001,20000,873,.4768,.0812,.1288,.0081,.0116,0,.0464,.21,.0371
1097,Four-year,Nonprofit 4-year,0,.67189997,.8240097016476901,.0205086,24900,4647,.8133,.0443,.0377,.0081,.003,.0003,.0336,.0592,.0005
1098,Four-year,Public 4-year,0,.34760001,1.10932087772828,.047632501,23200,3484,.6585,.2076,.0534,.0073,.0043,.001,.0417,.0134,.0127
1099,Four-year,Nonprofit 4-year,0,.70730001,.80051380044942,.017809199,24900,1289,.698,.0763,.0562,.0495,.0067,.0008,.0445,.0067,.0612
1100,Four-year,Nonprofit 4-year,0,.65719998,.76919076833624,.0171874,28300,1984,.7378,.0254,.0698,.0127,.0178,.0019,.0432,.0616,.0298
1101,Four-year,Public 4-year,0,.39449999,1.12297592990376,.034425002,20200,7281,.4913,.2818,.0466,.0232,.0022,0,.1119,.0414,.0016
1102,Four-year,Nonprofit 4-year,0,.6419,.78124987838216,.046493702,25700,1638,.8092,.0796,.0524,.0045,.0052,.0006,.0278,.0207,0
1103,Four-year,Nonprofit 4-year,1,.4136,1.29704990592094,.2025286,13600,1015,.002,.9350000000000001,.018,.001,.001,.003,.023,.017,0
1104,Two-year,Public 2-year,0,.44679999,1.02838814516753,0,12900,918,.4324,.5394,.0155,.0014,.0014,0,0,0,.0099
1106,Four-year,Nonprofit 4-year,0,.38060001,.98239063789055,.064856499,21300,456,.7217,.1283,.0522,.0109,.0065,.0022,.0043,.0739,0
1107,Four-year,Public 4-year,0,.40509999,1.1128077111554,.1208877,21100,3894,.6571999999999999,.2557,.0443,.0103,.0069,.0025,.0003,.0225,.0003
1108,Four-year,Public 4-year,0,.65530002,.89867801018549,.018321101,28700,24769,.7597,.0413,.0898,.025,.0087,.0009,.0411,.0279,.0058
1110,Four-year,Public 4-year,0,.3154,1.03880361306168,.059958398,17500,5237,.6514,.0411,.1297,.0552,.0199,.0011,.0909,.0107,0
1111,Two-year,Public 2-year,0,.32910001,1.14182858877281,.0017685,15900,6562,.2664,.0222,.6279,.0365,.0032,.003,.0349,.0013,.0045
1113,Four-year,Public 4-year,0,.2647,1.1803225170922,.024991199,13400,9092,.1915,.1464,.5623,.0359,.0031,.0026,.0492,.0013,.0079
1116,Four-year,Nonprofit 4-year,0,.71609998,.77780048783017,.0232464,21600,2722,.1369,.0146,.1112,.3300999999999999,.0035,.0045,.0418,.3543,.003
1117,Four-year,Nonprofit 4-year,0,.62629998,.85327125466367,.016314,29000,8901,.3726,.0611,.3322,.095,.0029,.0106,.0712,.031,.0233
1118,Four-year,Public 4-year,0,.1806,1.12400427393537,.0023405,15300,14801,.1935,.0481,.6689000000000001,.0425,.0035,.0014,.0343,.0028,.005
1119,Two-year,Public 2-year,0,.26910001,0,0,15000,2056,.2903,.1573,.4116,.0375,.0066,.0092,.0588,.0033,.0254
1122,Four-year,Nonprofit 4-year,0,.72979999,.70798292011993,.01185,24600,4906,.4532,.0255,.2132,.1748,.0017,.0065,.0612,.03,.034
1124,Two-year,Public 2-year,0,.30329999,1.04075315301414,.0030443999,17500,6785,.4227,.0129,.4624,.0318,.0025,.0017,.0518,.0066,.0078
1125,Four-year,Nonprofit 4-year,0,.54909998,.96967176445619,.031355999,21700,10456,.3886,.0681,.3644,.0535,.0061,.0092,.0581,.0195,.0325
1127,Four-year,Nonprofit 4-year,0,.60089999,.85539887889496,.0140505,19000,1846,.2044,.0454,.1376,.1521,.0034,.0048,0,.4143,.0379
1131,Four-year,Nonprofit 4-year,0,.92019999,.32531956711115,0,47300,2242,.2711,.0148,.1382,.404,0,0,.0844,.0876,0
1132,Four-year,Nonprofit 4-year,0,.56419998,.82161392772027,.023675,15100,1704,.4257,.0379,.1496,.0957,.003,.002,.0489,.1825,.0548
1133,Four-year,Nonprofit 4-year,0,.76160002,.81406998003275,.016383,35600,4201,.4283,.0432,.335,.0488,.0023,.0049,.0756,.0327,.0291
1134,Four-year,Public 4-year,0,.61729997,.57120904240762,.030342,47200,1240,.4705,.0246,.1969,.1024,.003,.0118,.1132,.0039,.0738
1137,Four-year,Public 4-year,0,.67750001,.84103975940457,.0074100001,29000,34004,.187,.0183,.4384,.2169,.001,.0016,.0411,.0613,.0345
1138,Four-year,Public 4-year,0,.48159999,.8957591570221199,.0175716,32200,14337,.1496,.0999,.3544,.2274,.0018,.0097,.0524,.0559,.0489
1139,Four-year,Public 4-year,0,.69370002,.8070239613817,.007429,29100,31562,.1685,.0366,.4311,.224,.0012,.0029,.0474,.0579,.0304
1140,Four-year,Public 4-year,0,.48500001,.94140821422707,.0125861,27800,23691,.0507,.0334,.6761,.13,.0007,.0011,.0154,.0692,.0235
1141,Four-year,Public 4-year,0,.4501,1.01013376317704,.017447701,27100,13427,.0589,.1133,.6425999999999998,.0819,.0007,.0027,.0267,.0437,.0295
1142,Four-year,Public 4-year,0,.56800002,1.03168543859265,.0200241,25900,17731,.1129,.0476,.6551,.0523,.0019,.0018,.0241,.0718,.0326
1143,Four-year,Public 4-year,0,.81739998,.51959768018499,.0027360001,43000,20968,.5424,.0079,.1708,.1327,.0014,.0019,.0764,.021,.0456
1144,Four-year,Public 4-year,0,.71109998,.78852225156852,.0092944996,33800,23927,.1584,.0344,.4559,.2139,.0016,.0017,.0378,.0647,.0316
1146,Four-year,Public 4-year,0,.6627,.7803888160985,.023092801,29400,16423,.4227,.027,.3428,.0557,.0048,.0023,.0534,.0288,.0625
1147,Four-year,Public 4-year,0,.5399,.89295618012264,.015145,27000,21638,.1782,.0266,.5353,.1312,.0042,.0018,.0268,.0576,.0381
1149,Four-year,Public 4-year,0,.51789999,.92675057754233,.0379324,19000,7353,.4253,.037,.3499,.0285,.0123,.003,.0658,.0127,.0655
1150,Four-year,Public 4-year,0,.51139998,.8920882282692,.015965899,31000,27164,.2567,.0597,.3231,.2007,.0026,.0073,.0619,.0328,.0552
1151,Four-year,Public 4-year,0,.74089998,.84721572723932,.0081983004,32500,32509,.3367,.04,.3151,.1347,.0035,.0023,.0656,.0647,.0374
1153,Four-year,Public 4-year,0,.53939998,.90640091824333,.0109446,27000,33093,.2049,.0471,.4951,.1004,.0011,.001,.0309,.0809,.0385
1154,Four-year,Public 4-year,0,.54900002,.8710441802947,.0178663,29500,25949,.1737,.0556,.3429,.2569,.0014,.0045,.0619,.0657,.0374
1155,Four-year,Public 4-year,0,.64910001,.76016032069164,.0104125,34600,29377,.1507,.0329,.2852,.3614,.0008,.0048,.048,.0786,.0377
1156,Four-year,Public 4-year,0,.6293,.78762445193662,.013594,29600,8915,.4347,.0229,.3333,.0496,.0045,.0032,.0638,.0274,.0605
1157,Four-year,Public 4-year,0,.58039999,.8971839767128,.0155848,27500,9370,.2126,.0223,.5454,.0973,.0029,.0043,.0333,.0356,.0463
1161,Two-year,Public 2-year,0,.26089999,.95691776896272,.0031472,17600,13577,.0307,.0151,.7216,.0773,.0616,.0061,.0105,.0059,.0711
1162,Two-year,Public 2-year,0,.3466,1.10266994063122,.001334,17300,8031,.1534,.0964,.4058,.2386,.0026,.015,.0681,.0061,.0141
1163,Two-year,Public 2-year,0,.249,1.13192881465866,0,16600,13807,.1511,.0736,.6572,.0623,.0011,.0018,.0285,.0084,.016
1164,Four-year,Nonprofit 4-year,0,.7877,.81828924569026,.0092663998,31600,8669,.5282,.0174,.1573,.1304,.0016,.0031,.0727,.038,.0514
1166,Two-year,Public 2-year,0,.35859999,1.12371313582109,.0017,15800,9851,.1562,.0358,.6511,.0811,.0009,.0011,.0296,.0398,.0046
1170,Four-year,Nonprofit 4-year,0,.93129998,.46186104489985,.0044240002,41300,1331,.4158,.0417,.1525,.1108,0,.0008,.0577,.1608,.0599
1171,Four-year,Nonprofit 4-year,0,.9192,.20263281804164,0,51600,960,.3138,.035,.1986,.1885,.0023,.0045,.1061,.0937,.0576
1172,Four-year,Nonprofit 4-year,0,.83520001,.67766841533702,.024569999,25500,1109,.4664,.0578,.1409,.1035,.0028,.0028,.0737,.097,.055
1173,Four-year,Nonprofit 4-year,0,.93730003,.52281449283465,0,41300,1696,.3422,.0962,.1769,.1491,.0039,.0026,.0691,.1143,.0458
1174,Four-year,Nonprofit 4-year,0,.88090003,.46012987193395,0,34300,1099,.5296,.0401,.1355,.1651,0,.0019,.0506,.0487,.0286
1176,Two-year,Public 2-year,0,.3527,1.05083629601459,.0099083995,13900,2349,.146,.0481,.7349,.0328,.0042,.0009,.0146,.0063,.0122
1178,Two-year,Public 2-year,0,.30340001,1.12090004381797,.0024379999,15600,3102,.4941,.0341,.3072,.0784,.0022,.0029,.0554,.0135,.0122
1179,Four-year,Nonprofit 4-year,0,.49439999,.89589140553397,.036847401,33400,1190,.1975,.0494,.4512,.1137,.0046,.0184,.0563,.054,.0551
1181,Two-year,Public 2-year,0,.4188,.7370729521688,.00044239999,22300,5080,.2569,.0282,.3042,.2237,.001,.024,.0532,.0976,.0112
1182,Two-year,Public 2-year,0,.23800001,.95717830585074,0,17300,7399,.1669,.0269,.7282999999999999,.0309,.0031,.0012,.0271,.0107,.0051
1183,Four-year,Nonprofit 4-year,0,.48089999,1.02336266594883,.058918301,31600,834,.1565,.1805,.4264999999999999,.099,.0016,.0208,.0463,.0288,.0399
1185,Two-year,Public 2-year,0,.2379,1.04900402862103,.0123516,13100,2815,.5603,.0345,.2123,.034,.0501,.0053,.0896,.0005,.0133
1186,Two-year,Public 2-year,0,.2814,.82233751965322,.0025179,14900,8222,.2113,.0236,.6884,.0367,.0037,.001,.0275,.0016,.0062
1187,Two-year,Public 2-year,0,.2397,1.06917918260852,.019910401,13000,1139,.6044,.0472,.1738,.03,.0272,.0072,.0823,.0057,.0222
1190,Two-year,Public 2-year,0,.197,1.00070985829592,.0028615999,16800,4067,.1063,.172,.4384,.1924,.0016,.0046,.0563,.0226,.0058
1191,Two-year,Public 2-year,0,.46020001,.83498572389249,.00093789998,18800,13184,.3541,.0562,.2637,.1717,.0013,.0042,.0846,.0601,.0041
1192,Two-year,Public 2-year,0,.3267,.95270152655685,.0026455,17100,6131,.5537,.0294,.313,.0313,.0062,.0011,.0568,.0041,.0043
1193,Four-year,Public 4-year,0,.30379999,1.04835726152175,.0019264,18400,9620,.156,.0423,.4784,.2334,.0012,.0034,.035,.0153,.035
1196,Four-year,Nonprofit 4-year,0,.71700001,.75054756191281,.025807999,30000,1757,.3022,.0427,.2389,.2809,.0055,.0103,.0625,.0087,.0483
1197,Two-year,Public 2-year,0,.30837005,1.10215622129375,0,16600,19175,.1108946648325092,.1538730862177938,.5499381046213332,.112817065100197,.0017290961817303,.0047749674684909,.0438241216492546,.0196947652154515,.0025124512027364
1199,Four-year,Public 4-year,0,.62690002,.93129345558903,.0033078,23500,9390,.3111999999999999,.0324,.2725,.2498,.0012,.0064,.0531,.0651,.0082
1201,Two-year,Public 2-year,0,.30559999,1.04322980948982,.0061460002,18000,14028,.1895,.0279,.5582,.1372,.0024,.0027,.0333,.0129,.036
1202,Two-year,Public 2-year,0,.3603,1.12080037536908,.00049449998,15600,3357,.2803,.0228,.5893,.061,.0026,.0026,.0348,.0011,.0056
1203,Two-year,Public 2-year,0,.32080001,.88876583220953,.00073630002,15000,11562,.4905,.0226,.3117,.0759,.0008,.0005,.0308,.0458,.0214
1206,Two-year,Public 2-year,0,.35229999,.95594553709938,.0017298,15300,7254,.286,.0202,.3518,.2516,.0021,.0057,.0518,.0261,.0046
1208,Two-year,Public 2-year,0,.2859,.89673705395286,.0027216,17500,10788,.3845,.0621,.3607,.0808,.0028,.004,.0683,.0328,.0041
1209,Two-year,Public 2-year,0,.3337,1.05888137606287,0,18300,6114,.2146,.0259,.6487000000000001,.0473,.0037,.0034,.0149,.0004,.0412
1212,Four-year,Nonprofit 4-year,0,.375,1.24669842463016,.055557601,14700,351,.1873,.0921,.381,.0698,.0032,.0286,.0032,.1365,.0984
1214,Two-year,Public 2-year,0,.31940001,0,0,12500,6399,.0398,.015,.9185,.0069,.0014,.0004,.0041,.0006,.0134
1215,Four-year,Nonprofit 4-year,0,.45269999,1.04744828044547,.029345,27100,1916,.1224,.0714,.4826,.1657,.0036,.0138,.0366,.1026,.0012
1216,Four-year,Nonprofit 4-year,0,.69120002,1.02669924195422,.024816001,30400,6492,.2073,.0549,.5314,.05,.0033,.0045,.0424,.0375,.0687
1217,Two-year,Public 2-year,0,.2033,1.05844886072247,.0037368,15400,1354,.3551,.1737,.3355,.0405,.0205,.0115,.0414,.0094,.0124
1219,Two-year,Public 2-year,0,.17739999,1.04246122863528,.003675,14700,16156,.131,.1074,.5984,.0991,.0022,.0063,.0481,.0061,.0014
1220,Four-year,Nonprofit 4-year,0,.59619999,.61338623985773,.0083568003,22400,1716,.6439,.0329,.092,.0312,.0008,.0034,.0945,.0177,.0835
1223,Two-year,Public 2-year,0,.1869,1.02501672707338,.0043992,11900,8571,.146,.0687,.5349,.1013,.0033,.0009,.0172,.0287,.0989
1224,Two-year,Public 2-year,0,.2701,.90750687114982,.00062319997,15800,4706,.0911,.0855,.6211,.0821,.0035,.0085,.0277,.012,.0687
1226,Two-year,Public 2-year,0,.27829999,1.11040487291708,.0046728002,17600,11706,.2089,.0401,.5036,.0796,.0022,.0021,.0279,.0147,.1208
1227,Two-year,Public 2-year,0,.26609999,.9333623307530901,.0057159001,14500,7323,.0369,.1457,.6762,.0264,.0034,.0016,.0147,.0133,.082
1228,Two-year,Public 2-year,0,.22579999,1.05912215451367,.0014178,15300,9711,.2332,.0395,.5191,.0582,.0028,.0019,.0205,.0113,.1137
1232,Two-year,Public 2-year,0,.271,1.17328466396096,.0051899999,14800,20449,.393,.0752,.274,.1115,.0049,.0086,.0561,.0031,.0736
1233,Two-year,Public 2-year,0,.21250001,1.12454527578302,.0063510002,17000,15083,.2656,.0986,.3265,.1913,.0026,.0111,.0674,.0249,.012
1236,Four-year,Nonprofit 4-year,0,.58780003,.889476133038,.037232399,32300,723,.2295,.0666,.2691,.0765,.0028,.0297,.0907,.1898,.0453
1237,Two-year,Public 2-year,0,.2536,0,0,13500,7422,.1852,.0256,.5457,.0844,.0042,.0035,.0286,.0099,.1129
1238,Four-year,Nonprofit 4-year,0,.73559999,.85245371277284,.023915499,19000,1117,.3672,.1057,.2999,.0925,.0053,.0013,.0911,.0119,.0251
1239,Four-year,Public 4-year,0,.29840001,.8658996468248999,.0034055,14200,10588,.3938,.0346,.3961,.063,.0037,.0049,.0736,.0133,.017
1240,Four-year,Public 4-year,0,.2245,0,0,15500,11812,.3533,.0328,.5246,.0623,.005,.0107,.0019,.002,.0074
1242,Two-year,Public 2-year,0,.30090001,1.15244996561045,.0039825002,15000,4558,.3473,.0326,.4471000000000001,.0771,.003,.0084,.0567,.0051,.0227
1243,Four-year,Nonprofit 4-year,0,.6358,.93321062788248,.0292578,32200,2594,.0766,.0647,.6109,.1609,.0034,.0055,.0158,.0009,.0613
1245,Two-year,Public 2-year,0,.3653,.96129263940494,.00090350001,19000,20429,.1015,.0365,.6294,.1787,.0013,.0024,.0305,.0167,.003
1246,Two-year,Public 2-year,0,.27219999,1.20849291963259,0,14200,10384,.28,.0628,.519,.0635,.0047,.0023,.061,0,.0067
1247,Two-year,Public 2-year,0,.3265,.96048249544964,.0011374,20600,3677,.2844,.051,.4449000000000001,.1361,.0027,.0039,.0647,.0037,.0088
1249,Four-year,Nonprofit 4-year,0,.85470003,.58803356598616,.0073504001,29700,2054,.4911,.0518,.1435,.1518,0,.0026,.0838,.0618,.0136
1250,Two-year,Public 2-year,0,.41370001,.9441661135487101,.0018676,20500,13233,.3091,.0163,.346,.2113,.0022,.0027,.0453,.0621,.0049
1251,Four-year,Nonprofit 4-year,0,.57380003,.74935869960882,.022077,18300,1120,.2907,.0435,.0565,.2565,.0111,.0019,.0546,.2222,.063
1252,Four-year,Nonprofit 4-year,0,.43076849,.95002653563936,.032590449,19900,1293,.379623623853211,.082597247706422,.2946995412844037,.0366774082568807,.0103561926605505,.0138034403669725,.11465,.0160188073394495,.0515885321100917
1253,Four-year,Nonprofit 4-year,0,.6638,.97747038945961,.038054001,24400,3643,.2756,.054,.5125,.0464,.0121,.0017,.0048,.0177,.0751
1258,Four-year,Nonprofit 4-year,0,.54979998,.90770086691897,.057160001,30000,977,.2293,.0732,.262,.1946,.0039,.0125,.0867,.025,.1127
1259,Two-year,Public 2-year,0,.38890001,0,0,13200,1529,.432,.0876,.3531,.0534,.0086,.005,.0261,.0008,.0334
1260,Two-year,Public 2-year,0,.29440001,1.02674836232298,.00089760002,19300,14615,.3651,.0308,.4458,.063,.0062,.0046,.0512,.0105,.0228
1261,Two-year,Public 2-year,0,.35260001,1.04927920417284,.00061739999,18000,19536,.142,.0383,.5017,.2387,.001,.0008,.0362,.033,.0083
1262,Four-year,Nonprofit 4-year,0,.77329999,.69890760852862,.015797701,29900,4260,.5137,.0185,.269,.0744,.0042,.0096,.0783,.0099,.0224
1266,Two-year,Public 2-year,0,.25729999,1.07382282088543,.0042965999,13300,6294,.1591,.2116,.2163,.2503,.0017,.0053,.0569,.062,.0368
1267,Two-year,Public 2-year,0,.17309999,1.06352566180698,.0031624001,15000,4371,.1671,.2447,.297,.1885,.0029,.0035,.0582,.0008,.0372
1268,Two-year,Public 2-year,0,.23810001,0,0,14800,2763,.1438,.0093,.7824,.0309,.0073,.0011,.0227,.0017,.0008
1269,Four-year,Public 4-year,0,.1831,1.08169133630127,.0004437,20000,10358,.0692,.021,.7702,.06,.002,.0011,.0087,.0043,.0633
1270,Two-year,Public 2-year,0,.26320001,.9322948096753,.0021267,16600,13317,.1922,.0735,.6375999999999999,.0572,.0035,.0036,.0155,.0145,.0024
1272,Two-year,Public 2-year,0,.17910001,.96975529058309,0,13700,9095,.1228,.1142,.6737,.0453,.0018,.0016,.0347,.0029,.003
1273,Two-year,Public 2-year,0,.1992,.95123072956879,.0033004,15000,7799,.2204,.0921,.51,.1022,.0038,.0042,.0473,.0051,.0148
1275,Four-year,Public 4-year,0,.2449,.89991471891863,.00127,19800,12443,.311,.0665,.3787,.1443,.0034,.0061,.0631,.0118,.0152
1280,Two-year,Public 2-year,0,.28299999,1.13106896680612,.0070686,16500,12045,.1976,.0782,.4787,.1751,.0039,.0045,.0521,.005,.0049
1281,Four-year,Nonprofit 4-year,0,.58520001,.86742817058529,.045298699,23700,1749,.5217000000000001,.0482,.1982,.0441,.0185,.0056,.0136,.0393,.1108
